0,1,2,3,4,5,6,7,8,9,10
565,40,0,3,7,0,3,3,5,7,1
18,373,0,12,6,0,5,4,0,8,1
8,26,21,9,4,22,23,12,35,3,6
70,51,0,111,7,0,8,6,5,10,1
19,62,0,2,40,4,8,1,0,0,6
10,6,1,1,4,264,19,32,0,1,2
20,13,0,0,0,2,102,18,2,0,3
65,79,2,4,4,4,13,304,17,2,0
230,88,1,6,1,0,25,268,128,8,1
39,76,0,5,0,0,5,0,0,102,2
91,153,0,26,48,1,97,6,0,2,100
